,Drought,Fire,Flood,Hurricane,Severe Storm,Snow,Tornado,Total 
Alabama,67,11,104,368,529,67,61,1207
Alaska,0,10,36,0,59,3,0,108
Arizona,8,49,76,15,42,0,0,190
Arkansas,32,0,235,93,603,17,95,1075
California,47,274,253,58,257,0,0,889
Colorado,42,126,146,0,28,55,27,424
Connecticut,0,0,17,58,52,58,3,188
Deleware,3,0,3,19,5,13,0,43
District of Columbia,0,0,0,6,9,3,0,18
Florida,0,251,73,648,326,0,38,1336
Georgia,144,14,62,377,397,93,134,1221
Hawaii,0,15,11,7,13,0,0,46
Idaho,9,43,55,44,55,1,0,207
Illinois,0,0,288,102,275,218,125,1008
Indiana,0,0,177,92,655,226,59,1209
Iowa,3,0,641,99,593,43,18,1397
Kansas,0,6,186,105,848,23,59,1227
Kentucky,0,41,345,120,899,332,90,1827
Louisiana,0,11,333,740,160,42,22,1308
Maine,0,0,96,34,128,81,0,339
Maryland,0,0,62,148,54,126,3,393
Massachusetts,0,3,42,93,84,83,3,308
Michigan,44,1,144,83,96,174,22,564
Minnesota,78,6,542,87,394,4,39,1150
Mississippi,0,0,126,469,492,72,79,1238
Missouri,94,1,447,115,1203,0,30,1890
Montana,6,100,90,56,124,1,1,378
Nebraska,2,7,284,93,590,15,36,1027
Nevada,5,51,18,17,17,31,0,139
New Hampshire,0,2,49,40,97,49,0,237
New Jersey,42,24,70,140,109,92,0,477
New Mexico,8,112,84,33,70,0,0,307
New York,14,63,200,214,350,221,3,1065
North Carolina,49,9,62,771,102,193,42,1228
North Dakota,18,1,569,0,385,38,11,1022
Ohio,0,0,116,90,566,181,81,1034
Oklahoma,0,182,215,77,893,4,98,1469
Oregon,19,48,117,0,135,0,0,319
Pennsylvania,13,0,349,261,247,189,15,1074
Rhode Island,0,0,0,37,21,27,0,85
South Carolina,31,4,54,229,87,0,7,412
South Dakota,60,14,322,0,366,65,0,827
Tennessee,0,24,205,95,689,57,82,1152
Texas,149,1120,454,1151,758,0,50,3682
Utah,27,19,69,0,3,0,1,119
Vermont,2,0,87,28,115,9,0,241
Virginia,100,11,280,674,404,462,0,1931
Washington,16,115,224,0,214,0,0,569
West Virginia,21,24,279,141,441,148,0,1054
Wisconsin,66,0,163,73,280,39,47,668
Wyoming,4,21,20,0,19,0,2,66
