Year,Fire,Flood,Hurricane,Severe_storm,Snow,Tornado,Total
1953,1,5,0,0,0,6,12
1954,0,7,7,0,0,1,15
1955,0,8,7,0,0,1,16
1956,1,7,1,3,0,2,14
1957,0,10,2,0,0,3,15
1958,0,5,1,0,0,1,7
1959,0,6,1,0,0,0,7
1960,1,3,2,2,0,1,9
1961,1,10,1,0,0,0,12
1962,0,17,0,2,0,0,19
1963,0,15,1,0,0,0,16
1964,0,15,4,0,1,0,20
1965,0,9,3,1,0,7,20
1966,0,9,0,0,0,1,10
1967,1,5,1,0,0,2,9
1968,0,10,1,0,0,6,17
1969,0,21,5,0,0,2,28
1970,1,10,1,2,0,1,15
1971,0,10,1,0,0,3,14
1972,0,43,0,0,1,0,44
1973,1,33,0,5,0,3,42
1974,0,30,1,1,0,10,42
1975,0,24,0,5,0,11,40
1976,0,19,1,3,0,2,25
1977,1,16,0,1,10,1,29
1978,1,20,0,2,8,6,37
1979,0,27,3,6,2,8,46
1980,1,12,1,2,0,5,21
1981,1,7,0,4,0,0,12
1982,1,19,0,2,0,4,26
1983,0,13,1,4,0,0,18
1984,0,20,1,3,1,10,35
1985,1,8,11,1,1,2,24
1986,0,22,0,0,0,3,25
1987,0,9,0,2,1,4,16
1988,1,2,1,0,0,3,7
1989,0,17,2,3,0,5,27
1990,1,16,0,11,0,1,29
1991,2,13,6,5,3,2,31
1992,2,16,3,8,0,8,37
1993,1,15,1,8,18,3,46
1994,0,4,0,20,5,2,31
1995,0,5,5,16,1,3,30
1996,5,27,4,28,15,0,79
1997,0,11,0,26,1,1,39
1998,5,6,11,41,1,3,67
1999,40,3,25,21,5,4,98
2000,67,2,0,34,2,3,108
2001,46,5,0,27,9,0,87
2002,71,4,4,22,1,3,105
2003,50,0,8,37,10,1,106
2004,43,1,14,42,7,0,107
2005,39,2,57,29,17,2,146
2006,89,2,0,46,4,0,141
2007,62,1,1,57,5,0,126
2008,54,3,15,61,5,0,138
2009,50,3,1,48,1,1,104
2010,18,9,4,55,11,2,99
2011,116,27,26,56,5,1,231
2012,51,3,29,28,0,0,111
2013,31,16,2,33,1,2,85
2014,35,9,0,21,1,1,67
2015,37,8,0,23,2,1,71
2016,51,18,10,16,5,1,101
