Year,flood
1953,5
1954,7
1955,8
1956,7
1957,10
1958,5
1959,6
1960,3
1961,10
1962,17
1963,15
1964,126
1965,198
1966,113
1967,120
1968,76
1969,394
1970,180
1971,108
1972,486
1973,579
1974,385
1975,377
1976,123
1977,144
1978,181
1979,210
1980,74
1981,33
1982,76
1983,101
1984,131
1985,207
1986,279
1987,105
1988,6
1989,205
1990,189
1991,302
1992,153
1993,496
1994,70
1995,76
1996,418
1997,278
1998,159
1999,57
2000,36
2001,168
2002,74
2003,0
2004,5
2005,9
2006,12
2007,4
2008,33
2009,33
2010,187
2011,453
2012,16
2013,225
2014,112
2015,170
2016,411
