Year,hurricane
1953,0
1954,7
1955,7
1956,2
1957,2
1958,1
1959,1
1960,2
1961,1
1962,0
1963,1
1964,4
1965,56
1966,0
1967,29
1968,14
1969,64
1970,7
1971,21
1972,0
1973,0
1974,10
1975,0
1976,3
1977,0
1978,0
1979,107
1980,12
1981,0
1982,0
1983,9
1984,9
1985,73
1986,0
1987,5
1988,3
1989,113
1990,5
1991,41
1992,46
1993,1
1994,0
1995,127
1996,240
1997,0
1998,261
1999,526
2000,0
2001,0
2002,73
2003,205
2004,647
2005,3714
2006,0
2007,32
2008,578
2009,2
2010,89
2011,539
2012,729
2013,20
2014,0
2015,0
2016,322
