DisasterNumber,total_cost,fed_amount,disaster_type,State,year,percentage,election,state,incident_type
820,292000,87769,7,52,1989,.30057877,0,Utah,Flood
821,1105600,542043,7,21,1989,.49027044,0,Kentucky,Flood
822,406213,206105,7,56,1989,.50738162,0,Washington,Flood
824,491845,239923,7,28,1989,.48780206,0,Minnesota,Flood
825,381741,122871,7,39,1989,.32187006,0,North Dakota,Flood
826,1082183,258547,8,2,1989,.23891246,0,Alaska,Freezing
827,288890,144445,17,38,1989,.5,0,North Carolina,Tornado
828,17046587,1244240,14,51,1989,.072990566,0,Texas,Severe Storm
829,451450,158521,7,22,1989,.35113746,0,Louisiana,Flood
830,215555,107778,7,23,1989,.50000232,0,Maine,Flood
832,1171748,317013,7,2,1989,.27054709,0,Alaska,Flood
834,678096,270456,7,21,1989,.39884618,0,Kentucky,Flood
835,388222,30758,7,22,1989,.079227865,0,Louisiana,Flood
836,110000,55000,7,51,1989,.5,0,Texas,Flood
837,411974,205350,17,8,1989,.4984538,0,Connecticut,Tornado
838,68512,34256,14,10,1989,.5,0,District of Columbia,Severe Storm
839,90250,32456,14,25,1989,.35962328,0,Maryland,Severe Storm
840,291430,135715,7,53,1989,.46568644,0,Vermont,Flood
843,22790847,10675000,10,48,1989,.46838978,0,South Carolina,Hurricane
844,3901703,1938940,10,38,1989,.49694711,0,North Carolina,Hurricane
845,127088832,59023479,4,6,1989,.46442696,0,California,Earthquake
846,235000,117500,7,21,1989,.5,0,Kentucky,Flood
847,537526,268763,7,55,1989,.5,0,Virginia,Flood
848,96388,47544,17,1,1989,.49325642,0,Alabama,Tornado
852,2344853,1197302,7,56,1990,.51060855,0,Washington,Flood
853,590046,104623,7,43,1990,.1773133,0,Oregon,Flood
856,646076,323038,14,1,1990,.5,0,Alabama,Severe Storm
857,8664093,750805,14,13,1990,.086657077,0,Georgia,Severe Storm
858,122850,61425,7,50,1990,.5,0,Tennessee,Flood
859,1386580,582459,14,29,1990,.4200688,0,Mississippi,Severe Storm
861,3106666,1443462,14,1,1990,.46463379,0,Alabama,Severe Storm
863,3490834,1055219,14,51,1990,.30228278,0,Texas,Severe Storm
864,2044554,845667,20,15,1990,.41361931,0,Hawaii,Volcano
865,3227230,753575,7,5,1990,.2335052,0,Arkansas,Flood
866,1953890,927719,14,42,1990,.47480616,0,Oklahoma,Severe Storm
867,1274754,634743,7,30,1990,.49793372,0,Missouri,Flood
868,1149004,574501,7,19,1990,.49999914,0,Iowa,Flood
869,10432390,384615,14,18,1990,.036867391,0,Indiana,Severe Storm
870,1355750,630000,14,41,1990,.46468744,0,Ohio,Severe Storm
871,14300000,424143,14,17,1990,.02966035,0,Illinois,Severe Storm
872,311781,154934,5,6,1990,.49693215,0,California,Fire
873,644613,299421,14,32,1990,.4644973,0,Nebraska,Severe Storm
874,774470,357016,14,58,1990,.46098107,0,Wisconsin,Severe Storm
875,555470,243003,7,53,1990,.43747276,0,Vermont,Flood
876,392418,172145,7,34,1990,.43867764,0,New Hampshire,Flood
879,216088,108044,7,19,1990,.5,0,Iowa,Flood
880,852388,426194,7,13,1990,.5,0,Georgia,Flood
881,828000,414000,7,48,1990,.5,0,South Carolina,Flood
883,6573121,3315640,7,56,1990,.50442398,0,Washington,Flood
884,198921,99461,7,4,1990,.5000025,0,Arizona,Flood
888,205502,94251,14,29,1991,.45863786,0,Mississippi,Severe Storm
889,590285,357617,7,50,1991,.60583788,0,Tennessee,Flood
890,694727,206668,7,1,1991,.29748088,0,Alabama,Flood
891,708013,221032,7,18,1991,.31218636,0,Indiana,Flood
893,867217,226246,7,21,1991,.26088741,0,Kentucky,Flood
895,331580,165790,7,29,1991,.5,0,Mississippi,Flood
896,1146200,223000,7,56,1991,.19455592,0,Washington,Flood
897,331504,165752,7,13,1991,.5,0,Georgia,Flood
898,2135987,1066282,15,37,1991,.49919873,0,New York,Snow
899,4528833,1583836,13,18,1991,.34972277,0,Indiana,Severe Ice Storm
900,507368,193763,14,51,1991,.38189834,0,Texas,Severe Storm
901,1899392,949696,15,23,1991,.5,0,Maine,Snow
902,192602,96301,7,22,1991,.5,0,Louisiana,Flood
904,1299124,642180,14,22,1991,.49431771,0,Louisiana,Severe Storm
905,208481,104241,17,42,1991,.50000238,0,Oklahoma,Tornado
906,1058437,529219,14,29,1991,.50000048,0,Mississippi,Severe Storm
907,473723,233400,7,5,1991,.49269298,0,Arkansas,Flood
908,735193,367596,7,32,1991,.49999931,0,Nebraska,Flood
909,777202,168293,15,2,1991,.21653701,0,Alaska,Snow
910,3344674,2351405,7,50,1991,.70302963,0,Tennessee,Flood
911,656125,328062,7,19,1991,.49999923,0,Iowa,Flood
912,1248917,54342,14,58,1991,.043511298,0,Wisconsin,Severe Storm
913,571797,285899,10,47,1991,.50000089,0,Rhode Island,Hurricane
914,1212789,651881,10,26,1991,.53750569,0,Massachusetts,Hurricane
915,662757,330690,10,23,1991,.49896115,0,Maine,Hurricane
916,156170,76773,10,8,1991,.4915989,0,Connecticut,Hurricane
917,157810,75428,10,34,1991,.47796717,0,New Hampshire,Hurricane
918,100000,50000,10,37,1991,.5,0,New York,Hurricane
919,5735029,2746288,5,6,1991,.47886211,0,California,Fire
920,1267841,621066,1,26,1991,.4898611,0,Massachusetts,Coastal Storm
921,409890,204945,1,23,1991,.5,0,Maine,Coastal Storm
922,141232,70616,5,56,1991,.5,0,Washington,Fire
